episode,reward,steps,epsilon,avg_loss,served,arrivals,avg_wait,deadline_miss_rate,utilization,infeasible_actions
180,-2721.700000000001,200,0.8110555555555555,1.9492095470428468,49,79,70.10126582278481,0.8571428571428571,0.5383333333333333,147
181,-2460.649999999999,200,0.81,1.892572319507599,60,92,59.97826086956522,0.8666666666666667,0.7116666666666667,133
182,-2746.3500000000004,200,0.8089444444444445,1.8251083379983901,40,71,80.43661971830986,0.825,0.465,153
183,-2874.7750000000015,200,0.8078888888888889,1.8068496596813202,55,85,67.97647058823529,0.8727272727272727,0.6,142
184,-2885.425000000004,200,0.8068333333333333,1.74572170317173,47,77,73.77922077922078,0.9148936170212766,0.5383333333333333,143
185,-2677.7750000000024,200,0.8057777777777778,1.815044207572937,53,85,65.4,0.9056603773584906,0.5966666666666667,137
186,-2712.8750000000014,200,0.8047222222222222,1.8237471902370452,57,87,65.08045977011494,0.9122807017543859,0.5983333333333334,136
187,-2685.749999999998,200,0.8036666666666666,1.8319492369890213,52,83,68.95180722891567,0.9230769230769231,0.5916666666666667,138
188,-2775.6750000000015,200,0.8026111111111112,1.807649655342102,55,86,66.97674418604652,0.8909090909090909,0.6283333333333333,141
189,-2800.574999999998,200,0.8015555555555556,1.8113310533761977,51,82,70.20731707317073,0.9411764705882353,0.5633333333333334,145
190,-2949.4499999999957,200,0.8005,1.8193545600771903,47,78,72.46153846153847,0.8723404255319149,0.5433333333333333,149
191,-2838.300000000001,200,0.7994444444444444,1.7584338372945785,49,80,70.3875,0.9183673469387755,0.555,143
192,-2654.1250000000005,200,0.7983888888888889,1.779951572716236,52,83,69.6867469879518,0.9038461538461539,0.585,146
193,-3003.8500000000004,200,0.7973333333333333,1.783325389623642,45,78,73.92307692307692,0.8888888888888888,0.48833333333333334,148
194,-2821.849999999999,200,0.7962777777777779,1.790447891354561,49,81,71.06172839506173,0.8571428571428571,0.5416666666666666,142
195,-2821.0749999999994,200,0.7952222222222223,1.7654387471079827,49,81,70.28395061728395,0.8979591836734694,0.5333333333333333,146
196,-2683.9499999999966,200,0.7941666666666667,1.7786102983355523,46,77,73.33766233766234,0.9130434782608695,0.5066666666666667,146
197,-2762.149999999998,200,0.7931111111111111,1.7901635020971298,51,82,70.28048780487805,0.8823529411764706,0.65,144
198,-2680.1749999999993,200,0.7920555555555555,1.736115934252739,52,83,68.03614457831326,0.8846153846153846,0.5833333333333334,139
199,-2554.8499999999985,200,0.791,1.8424596685171126,57,88,63.96590909090909,0.9122807017543859,0.6433333333333333,129
200,-2728.2999999999993,200,0.7899444444444444,1.778769474029541,49,80,70.9125,0.9183673469387755,0.5916666666666667,144
201,-2639.0749999999966,200,0.788888888888889,2.3649953031539916,52,84,68.26190476190476,0.8846153846153846,0.6283333333333333,134
202,-2859.1749999999997,200,0.7878333333333334,2.045199488401413,54,85,67.27058823529411,0.9074074074074074,0.6383333333333333,144
203,-2559.2499999999986,200,0.7867777777777778,1.966899095773697,58,90,62.144444444444446,0.9310344827586207,0.65,136
204,-2879.074999999996,200,0.7857222222222222,2.055954923033714,44,76,75.71052631578948,0.9090909090909091,0.5633333333333334,154
205,-2670.2249999999985,200,0.7846666666666666,1.9961985874176025,51,82,70.08536585365853,0.8823529411764706,0.565,145
206,-2955.5750000000053,200,0.7836111111111111,1.9876418280601502,45,75,76.82666666666667,0.8888888888888888,0.495,145
207,-2752.575,200,0.7825555555555556,2.015057246685028,57,88,65.9659090909091,0.9298245614035088,0.635,130
208,-3018.425000000004,200,0.7815,2.004892953634262,48,79,73.84810126582279,0.875,0.5533333333333333,140
209,-2771.5750000000007,200,0.7804444444444445,2.015871011018753,45,76,74.63157894736842,0.8222222222222222,0.49666666666666665,148
210,-2799.199999999996,200,0.7793888888888889,1.9733635511994363,53,83,69.91566265060241,0.8867924528301887,0.5833333333333334,145
211,-2718.1249999999986,200,0.7783333333333333,1.9579462265968324,51,83,66.81927710843374,0.8235294117647058,0.6216666666666667,138
212,-2880.8750000000036,200,0.7772777777777777,1.9316798502206802,54,85,67.89411764705882,0.9074074074074074,0.5966666666666667,138
213,-2563.5499999999993,200,0.7762222222222223,1.9306874334812165,54,85,67.08235294117647,0.9259259259259259,0.585,141
214,-2976.8749999999986,200,0.7751666666666667,2.0013012048602103,44,75,75.58666666666667,0.8409090909090909,0.565,146
215,-2667.5,200,0.7741111111111111,1.940403898358345,56,87,65.77011494252874,0.8928571428571429,0.6283333333333333,135
216,-2788.9500000000007,200,0.7730555555555556,1.9701416724920273,54,84,68.86904761904762,0.8888888888888888,0.6016666666666667,141
217,-2826.2999999999975,200,0.772,1.9822421705722808,51,82,68.86585365853658,0.8823529411764706,0.54,141
218,-2832.424999999998,200,0.7709444444444444,1.9755960661172867,53,85,66.68235294117648,0.8679245283018868,0.625,141
219,-3057.799999999997,200,0.7698888888888888,1.8961381188035011,43,74,77.08108108108108,0.9302325581395349,0.55,147
220,-2539.6250000000005,200,0.7688333333333334,1.9505811607837678,59,90,62.766666666666666,0.864406779661017,0.6433333333333333,137
221,-2820.0249999999996,200,0.7677777777777778,1.9633492457866668,54,86,66.26744186046511,0.9074074074074074,0.5816666666666667,141
222,-3037.349999999998,200,0.7667222222222222,2.010751126408577,54,84,68.82142857142857,0.8703703703703703,0.5916666666666667,138
223,-2782.999999999999,200,0.7656666666666667,1.9955594065785407,49,79,73.37974683544304,0.8571428571428571,0.5783333333333334,144
224,-2703.0999999999995,200,0.7646111111111111,1.9697716909646987,55,86,66.18604651162791,0.8909090909090909,0.5433333333333333,137
225,-2903.0500000000015,200,0.7635555555555555,1.884128724336624,49,80,71.6,0.8775510204081632,0.55,141
226,-2681.625000000001,200,0.7625,2.5017462682724,54,85,66.71764705882353,0.9074074074074074,0.5933333333333334,138
227,-2940.525000000001,200,0.7614444444444445,2.2690897464752195,52,85,65.97647058823529,0.9038461538461539,0.6433333333333333,141
228,-2803.0749999999985,200,0.7603888888888889,2.3196339297294615,42,73,79.53424657534246,0.8809523809523809,0.49666666666666665,148
229,-2951.125000000002,200,0.7593333333333333,2.106720550060272,48,80,71.7875,0.875,0.5816666666666667,141
230,-3093.0500000000025,200,0.7582777777777778,2.0620724368095398,42,73,79.42465753424658,0.8571428571428571,0.5233333333333333,154
